zip,State,cohort_population,total_population,pop_density,total_population_2019,cohort_population_2019,pop_density_2019,cohort_pop_change,cohort_pop_change_pc,pc_total_ethnicity,c_p_rank,c_pd_rank,c_yoy_rank,zip_code_rank
99901,AK,10,10740,0.09%,10365,20,0.19%,375,1875.00%,0.00%,179075,10664,2100,9222
99840,AK,4,1104,0.36%,930,0,0.00%,174,0.00%,0.00%,196976,7359,6033,10963
99835,AK,6,7574,0.08%,7655,14,0.18%,-81,-578.57%,0.00%,190740,10861,35855,38278
99833,AK,37,3139,1.18%,2916,19,0.65%,223,1173.68%,0.00%,139136,3455,2716,5951
99829,,20,490,4.08%,431,9,2.09%,59,655.56%,0.00%,159334,1052,3516,6971
99801,AK,151,24648,0.61%,25646,160,0.62%,-998,-623.75%,0.00%,89574,5539,35955,5212
99775,,149,1104,13.50%,1238,31,2.50%,-134,-432.26%,0.00%,90054,207,35546,4559
99764,,130,186,69.89%,176,108,61.36%,10,9.26%,0.00%,94720,1,5933,2988
99755,,7,311,2.25%,403,8,1.99%,-92,-1150.00%,0.00%,187653,1898,36773,11568
99723,AK,80,1394,5.74%,1237,45,3.64%,157,348.89%,0.00%,111786,675,4266,3988
99712,,78,9807,0.80%,10929,81,0.74%,-1122,-1385.19%,0.00%,112716,4670,37022,6595
99709,AK,216,21824,0.99%,23451,215,0.92%,-1627,-756.74%,0.00%,77781,3966,36211,4294
99702,AK,3,2855,0.11%,2585,11,0.43%,270,2454.55%,0.00%,200287,10480,1735,11266
99701,AK,100,13371,0.75%,12763,66,0.52%,608,921.21%,0.00%,103855,4885,3057,3955
99694,,9,1198,0.75%,1223,0,0.00%,-25,0.00%,0.00%,181716,4871,6033,8922
99693,,16,233,6.87%,214,6,2.80%,19,316.67%,0.00%,166155,541,4364,7400
99685,,5,3318,0.15%,3617,6,0.17%,-299,-4983.33%,0.00%,193878,9798,38536,38367
99671,,2,63,3.17%,77,1,1.30%,-14,-1400.00%,0.00%,203648,1346,37035,38165
99669,AK,32,14690,0.22%,14433,14,0.10%,257,1835.71%,0.00%,144181,8910,2128,6918
99654,AK,69,33495,0.21%,50582,99,0.20%,-17087,-17259.60%,0.00%,117209,9067,39285,7586
99652,,9,2926,0.31%,2493,6,0.24%,433,7216.67%,0.00%,181716,7891,651,8960
99645,AK,58,23193,0.25%,24017,56,0.23%,-824,-1471.43%,0.00%,123498,8527,37110,7753
99639,,5,984,0.51%,965,0,0.00%,19,0.00%,0.00%,193878,6206,6033,9797
99623,AK,51,17852,0.29%,0,0,NaN,17852,0.00%,0.00%,127917,8116,6033,6042
99615,AK,4,10119,0.04%,10780,17,0.16%,-661,-3888.24%,0.00%,196976,11480,38285,38513
99611,AK,48,11725,0.41%,12254,0,0.00%,-529,0.00%,0.00%,130082,6937,6033,6032
99610,AK,3,2141,0.14%,2080,9,0.43%,61,677.78%,0.00%,200287,9935,3467,11307
99603,AK,18,10195,0.18%,9698,17,0.18%,497,2923.53%,0.00%,162669,9439,1520,8069
99577,AK,131,23903,0.55%,24849,0,0.00%,-946,0.00%,0.00%,94447,5937,6033,3688
99567,AK,3,6425,0.05%,8787,48,0.55%,-2362,-4920.83%,0.00%,200287,11374,38519,38586
99556,AK,7,2717,0.26%,2495,7,0.28%,222,3171.43%,0.00%,187653,8450,1433,9445
99518,,53,8017,0.66%,8852,80,0.90%,-835,-1043.75%,0.00%,126580,5304,36655,7540
99517,AK,222,13880,1.60%,13623,149,1.09%,257,172.48%,0.01%,76913,2606,4933,2269
99516,,124,19824,0.63%,19916,85,0.43%,-92,-108.24%,0.00%,96365,5478,34355,5514
99515,AK,45,19126,0.24%,19995,93,0.47%,-869,-934.41%,0.00%,132388,8706,36497,8258
99508,AK,76,25878,0.29%,25442,72,0.28%,436,605.56%,0.00%,113663,8040,3622,5010
99507,AK,259,29988,0.86%,31260,334,1.07%,-1272,-380.84%,0.01%,71888,4398,35390,3917
99505,,32,4637,0.69%,4110,18,0.44%,527,2927.78%,0.00%,144181,5151,1516,6406
99504,AK,144,32830,0.44%,33304,108,0.32%,-474,-438.89%,0.00%,91226,6710,35564,5424
